%time,field.header.seq,field.header.stamp,field.header.frame_id,field.UTM_x,field.UTM_y,field.UTM_z,field.GPSSpd,field.GPSAcc
1548567080230764867,5,1548567080230376039,base_link,683202.214026,3110765.34475,58.5246505737,0.0755022019148,0.00102040811908
1548567080280723347,6,1548567080280383513,base_link,683202.212903,3110765.34504,58.524143219,0.0926946252584,0.0132653051987
1548567080330916481,7,1548567080330404722,base_link,683202.21166,3110765.34555,58.5235366821,0.0992380976677,0.00918367411941
1548567080380984731,8,1548567080380386526,base_link,683202.21044,3110765.34621,58.5230293274,0.0981945842505,0.0094076981768
1548567080431850271,9,1548567080431514806,base_link,683202.209216,3110765.34687,58.5225372314,0.100974492729,0.0094076981768
1548567080480987399,10,1548567080480375156,base_link,683202.207938,3110765.34746,58.5220184326,0.0994336009026,0.00684510590509
1548567080530820976,11,1548567080530462010,base_link,683202.206744,3110765.34798,58.5216026306,0.0889029204845,0.0127856768668
1548567080580687615,12,1548567080580372987,base_link,683202.205685,3110765.34853,58.5213317871,0.0836783200502,0.00549506628886
1548567080630675376,13,1548567080630391369,base_link,683202.204631,3110765.34917,58.521156311,0.0939920693636,0.0123296389356
1548567080680594606,14,1548567080680380139,base_link,683202.203407,3110765.34986,58.5209083557,0.108608111739,0.0
1548567080730849875,15,1548567080730402161,base_link,683202.202079,3110765.35055,58.5206375122,0.107610933483,0.00288615003228
1548567080780799886,16,1548567080780385994,base_link,683202.200766,3110765.3512,58.520488739,0.104457989335,0.00620690034702
1548567080830679775,17,1548567080830374527,base_link,683202.199477,3110765.35186,58.5204620361,0.104771532118,0.00367913395166
1548567080880876886,18,1548567080880373144,base_link,683202.198114,3110765.3525,58.5204200745,0.110432401299,0.00742868334055
1548567080930840432,19,1548567080930368146,base_link,683202.196735,3110765.35313,58.5202560425,0.107120200992,0.00714285718277
1548567080980746787,20,1548567080980384816,base_link,683202.222066,3110765.33703,58.529838562,0.0558723062277,0.00653380015865
1548567081030855629,21,1548567081030379425,base_link,683202.221318,3110765.33721,58.5299186707,0.0572810024023,0.00322681362741
1548567081080620376,22,1548567081080377948,base_link,683202.220492,3110765.33744,58.5299072266,0.0645384043455,0.00306122447364
1548567081130851114,23,1548567081130381858,base_link,683202.219613,3110765.33768,58.5299415588,0.0688150078058,0.00796964298934
1548567081180841089,24,1548567081180380435,base_link,683202.218749,3110765.33798,58.5300445557,0.0630695819855,0.00653380015865
1548567081230738512,25,1548567081230380687,base_link,683202.217906,3110765.33831,58.5301513672,0.0647585615516,0.0142857143655
1548567081280796624,26,1548567081280374032,base_link,683202.217057,3110765.33863,58.5302200317,0.0635119229555,0.00520308129489
1548567081330720755,27,1548567081330406044,base_link,683202.216216,3110765.33894,58.5303230286,0.0621920637786,0.0045634037815
1548567081380712677,28,1548567081380386672,base_link,683202.21541,3110765.33919,58.5305175781,0.0599902383983,0.00721537461504
1548567081430787105,29,1548567081430402662,base_link,683202.214614,3110765.33952,58.5306968689,0.0664269775152,0.00228170189075
1548567081481041025,30,1548567081480408826,base_link,683202.213773,3110765.33995,58.5307617188,0.0707805901766,0.00520308129489
1548567081530874380,31,1548567081530410136,base_link,683202.212926,3110765.34042,58.530872345,0.0689578652382,0.00520308129489
1548567081580859037,32,1548567081580401482,base_link,683202.212092,3110765.34078,58.5310821533,0.0622120685875,0.00367913395166
1548567081631415862,33,1548567081630434779,base_link,683202.211336,3110765.34102,58.5312805176,0.0534931644797,0.00841450039297
1548567081680867310,34,1548567081680363461,base_link,683202.210608,3110765.34131,58.531414032,0.0566564947367,0.00510204071179
1548567081730683878,35,1548567081730407861,base_link,683202.209921,3110765.34164,58.531463623,0.0529627166688,0.0147165358067
1548567081780635309,36,1548567081780397123,base_link,683202.209306,3110765.34193,58.5314826965,0.048305619508,0.0136902118102
1548567081831040742,37,1548567081830464743,base_link,683202.208624,3110765.3421,58.5314788818,0.0543488226831,0.00520308129489
1548567081880601621,38,1548567081880390640,base_link,683202.207826,3110765.34221,58.531375885,0.0602845773101,0.0129072545096
1548567081930669587,39,1548567081930405963,base_link,683202.207031,3110765.34229,58.53125,0.05503058061,0.00204081623815
1548567081980569802,40,1548567081980400114,base_link,683202.227586,3110765.33435,58.5342483521,0.0184947885573,0.00510204071179
1548567082030701772,41,1548567082030404773,base_link,683202.2273,3110765.33425,58.5340080261,0.0248571466655,0.00645362725481
1548567082080679026,42,1548567082080435190,base_link,683202.226943,3110765.33416,58.5336532593,0.0273504089564,0.0081632649526
1548567082130827960,43,1548567082130514924,base_link,683202.226605,3110765.334,58.5333366394,0.0275193192065,0.00228170189075
1548567082184276046,44,1548567082180406520,base_link,683202.226209,3110765.33383,58.5329818726,0.0330573096871,0.00918367411941
1548567082230652026,45,1548567082230406685,base_link,683202.22569,3110765.33376,58.5325241089,0.0437269732356,0.00204081623815
1548567082281967924,46,1548567082280413828,base_link,683202.225046,3110765.33378,58.5319595337,0.047007676214,0.00322681362741
1548567082330602546,47,1548567082330364726,base_link,683202.224398,3110765.33383,58.5313949585,0.0476648323238,0.0144307492301
1548567082381080514,48,1548567082380423579,base_link,683202.223746,3110765.33383,58.5309486389,0.0471487566829,0.0045634037815
1548567082430937296,49,1548567082430469725,base_link,683202.223024,3110765.33381,58.5304641724,0.0552108585835,0.00924018863589
1548567082482580281,50,1548567082480364592,base_link,683202.222222,3110765.33381,58.5299568176,0.0606249161065,0.00620690034702
1548567082530661649,51,1548567082530375711,base_link,683202.221365,3110765.33385,58.5295181274,0.0619321390986,0.00510204071179
1548567082580591529,52,1548567082580405041,base_link,683202.220511,3110765.33395,58.5290718079,0.0670368894935,0.0144307510927
1548567082631210857,53,1548567082630639412,base_link,683202.219523,3110765.33416,58.5285949707,0.0778220072389,0.0108470870182
1548567082680683244,54,1548567082680415477,base_link,683202.218448,3110765.33442,58.5281333923,0.0771183148026,0.0183956697583
1548567082732982638,55,1548567082730361196,base_link,683202.217414,3110765.33459,58.5277519226,0.0714567303658,0.00510204071179
1548567082780574636,56,1548567082780403126,base_link,683202.216432,3110765.33471,58.5274009705,0.0730956718326,0.00968044158071
1548567082830618241,57,1548567082830363875,base_link,683202.215415,3110765.33481,58.5270690918,0.0760735571384,0.00144307501614
1548567082880583041,58,1548567082880376415,base_link,683202.214346,3110765.33494,58.5267944336,0.0780129060149,0.0081632649526
1548567082930686040,59,1548567082930387832,base_link,683202.213249,3110765.33508,58.5266075134,0.080954477191,0.00102040811908
1548567082980686819,60,1548567082980382443,base_link,683202.229561,3110765.32882,58.5316619873,0.0549484826624,0.0040816324763
1548567083030589821,61,1548567083030406537,base_link,683202.228728,3110765.32884,58.5316009521,0.0635455623269,0.0
1548567083080585378,62,1548567083080371727,base_link,683202.22784,3110765.32881,58.5315551758,0.0627361238003,0.00684510590509
1548567083134858235,63,1548567083130388416,base_link,683202.226948,3110765.32879,58.5315551758,0.065838880837,0.00322681362741
1548567083180587640,64,1548567083180400693,base_link,683202.226029,3110765.32882,58.5315818787,0.0685904547572,0.00796964298934
1548567083230605632,65,1548567083230402776,base_link,683202.225054,3110765.32894,58.5316581726,0.0756705328822,0.0116344429553
1548567083280885479,66,1548567083280365674,base_link,683202.224025,3110765.32916,58.5317459106,0.0776048824191,0.010101525113
1548567083330634928,67,1548567083330411402,base_link,683202.222971,3110765.32936,58.531829834,0.0792859494686,0.00577230006456
1548567083380583155,68,1548567083380399592,base_link,683202.221874,3110765.32952,58.5319633484,0.0814895406365,0.00322681362741
1548567083430795535,69,1548567083430410890,base_link,683202.22076,3110765.32974,58.5320854187,0.0815123692155,0.00520308129489
1548567083480924406,70,1548567083480590132,base_link,683202.219696,3110765.32999,58.5322341919,0.0721324905753,0.0116344429553
1548567083530845953,71,1548567083530486262,base_link,683202.218778,3110765.33018,58.5324897766,0.0625215545297,0.0118999024853
1548567083580644088,72,1548567083580468563,base_link,683202.217905,3110765.33037,58.5327377319,0.0649165734649,0.0040816324763
